number;name;father;mother;family;race;register
020/52;G SAN DIEGO AMILA T.E.;ASTRO FIV CABO VERDE;EL TESORO GIOCONDA T.E.;GRINALDA DOS POCOES;GYR;HGY075641
020/9;TASMANIA MARIA;GENGIS KHAN DE BRASILIA;Grauna Alto Estiva (Parana);GRAUNA ALTO ESTIVA;GYR;HGY053664
024/25;LA ESPERANZA DIOSA;DIAMANTE DE BRASILIA;Esperanza (Espelho);GAMA DOS POCOES;GYR;HGY027173
025/66;VIA LACTEA KATHERINE;FARDO FIV F. MUTUM;FB CARMEN;FB NEFRITA;GYR;HGY040003
051/67;VIA LACTEA AZUCENA;TABU TE CAL;JAFFUI DO BASA;SOJA DE BRASILIA;GYR;HGY045862
052/56;LA ESPERANZA UKUMARI;PH UHISQUE;EL TESORO DINASTIA;EL TESORO DINASTIA;GYR;HGY034342
056/52 - 73/18;;;;;GYR;
0616/22;MANANTIALS 220616 T.E.;FARDO FIV F. MUTUM;EL TESORO GITANA;PROFANA DE BRASILIA;GYR;HGY076468
062/21;VIA LACTEA GIANNA T.E.;GENGIS KHAN DE BRASILIA;ESSENCIA FIV DE BRAS;SOJA DE BRASILIA;GYR;HGY065496
0624/22;MANANTIALS ARTISTA T.E.;ANTONIONE FIV CABO VERDE;VIA LACTEA AZUCENA T.E.;SOJA DE BRASILIA;GYR;HGY077143
